"","mom","embryo","Treatment","Elevation","Estimate","Std. Error","t value","Pr(>|t|)","coll_date","coll_date_numeric","Treatment_numeric","Elevation_numeric","Mom_numeric"
"38","Higher zone WINTER 2",9,"Heat Shock","Higher",0.011566688,0.00197103109509347,-5.8683437459679,0.107451590598027,"Winter",1,1,1,6
"39","Higher zone WINTER 2",10,"Heat Shock","Higher",0.0148070668946925,0.00167432089825033,-8.8436254425098,0.0125460196370098,"Winter",1,1,1,6
"40","Higher zone WINTER 2",12,"Heat Shock","Higher",0.0185403715,NA,NA,NA,"Winter",1,1,1,6
"41","Higher zone WINTER 3",1,"Control","Higher",0.00992588845737705,0.00179253595190787,-5.53734414465302,0.0311000565676142,"Winter",1,0,1,7
"42","Higher zone WINTER 3",2,"Control","Higher",0.0182350693497409,0.000425522798174799,-42.8533310740503,0.0148530870039936,"Winter",1,0,1,7
"43","Higher zone WINTER 3",3,"Control","Higher",0.0188528873238342,0.00679501183022384,-2.77451869031009,0.220225806113998,"Winter",1,0,1,7
"44","Higher zone WINTER 3",4,"Control","Higher",0.0163259468963731,0.000492532599689757,-33.1469366832909,0.019200167542517,"Winter",1,0,1,7
"45","Higher zone WINTER 3",5,"Control","Higher",0.0061948282849741,0.00345662137231511,-1.79216281383605,0.324009584742893,"Winter",1,0,1,7
"46","Higher zone WINTER 3",6,"Control","Higher",0.0220297468160622,0.00582625686868397,-3.78111492723084,0.16459966700263,"Winter",1,0,1,7
"47","Higher zone WINTER 3",7,"Control","Higher",0.015901129261658,0.00315489660945755,-5.04014274635518,0.124690536611176,"Winter",1,0,1,7
"48","Higher zone WINTER 3",8,"Control","Higher",0.0199317056424871,0.00462766539254199,-4.30707580427256,0.145234715254398,"Winter",1,0,1,7
"49","Higher zone WINTER 3",9,"Control","Higher",0.0158789785,0.00118871079936154,-13.3581511234933,0.0475690474279853,"Winter",1,0,1,7
"50","Higher zone WINTER 3",10,"Control","Higher",0.0195970968445596,0.00372464924376268,-5.2614610294854,0.119570617925093,"Winter",1,0,1,7
"51","Higher zone WINTER 3",11,"Control","Higher",0.0157344654145078,0.00340509009668814,-4.62086610566089,0.135678400727975,"Winter",1,0,1,7
"52","Higher zone WINTER 3",12,"Control","Higher",0.015185560253886,0.00104336830007448,-14.5543623021728,0.0436721861670412,"Winter",1,0,1,7
"53","Higher zone WINTER 3",1,"Heat Shock","Higher",0.0135683970625,0.00328310169231215,-4.13279829079689,0.15113597627506,"Winter",1,1,1,7
"54","Higher zone WINTER 3",2,"Heat Shock","Higher",0.0018903296875,0.00461079210413545,-0.409979379856349,0.75230424748943,"Winter",1,1,1,7
"55","Higher zone WINTER 3",3,"Heat Shock","Higher",0.0137966440625,0.00264149363719982,-5.22304648711003,0.120429280416893,"Winter",1,1,1,7
