"","mom","embryo","Treatment","Elevation","Estimate","Std. Error","t value","Pr(>|t|)","coll_date","coll_date_numeric","Treatment_numeric","Elevation_numeric","Mom_numeric"
"39","Higher zone WINTER 2",9,"Heat Shock","Higher",0.00557512463274018,0.000438285505508346,12.7203034612652,0.0499448090460218,"Winter",1,1,1,6
"40","Higher zone WINTER 2",10,"Heat Shock","Higher",0.00809983037208637,0.00173404648591507,4.67105722821035,0.04290406554959,"Winter",1,1,1,6
"41","Higher zone WINTER 2",12,"Heat Shock","Higher",0.00713013621928047,NA,NA,NA,"Winter",1,1,1,6
"42","Higher zone WINTER 3",1,"Control","Higher",0.00934856166170358,0.0030077792167098,3.10812762112571,0.089791155587426,"Winter",1,0,1,7
"43","Higher zone WINTER 3",2,"Control","Higher",0.0105447726647,0.000924218818209971,11.4093896996419,0.0556556562289673,"Winter",1,0,1,7
"44","Higher zone WINTER 3",3,"Control","Higher",0.00810373900744434,0.00286352490657461,2.82998726109847,0.216236592949676,"Winter",1,0,1,7
"45","Higher zone WINTER 3",4,"Control","Higher",0.0102421793341101,0.000404469167266818,25.3225218706316,0.025127400351811,"Winter",1,0,1,7
"46","Higher zone WINTER 3",5,"Control","Higher",0.0152373518740805,0.00243281180818523,6.26326780510282,0.100792678153632,"Winter",1,0,1,7
"47","Higher zone WINTER 3",6,"Control","Higher",0.0100002673461513,0.00312542756577798,3.19964777160402,0.19284244774222,"Winter",1,0,1,7
"48","Higher zone WINTER 3",7,"Control","Higher",0.0101620919348285,0.000646894565837947,15.7090389554675,0.0404710902935946,"Winter",1,0,1,7
"49","Higher zone WINTER 3",8,"Control","Higher",0.0113577507911742,6.31706186553079e-05,179.794832359455,0.00354077589212502,"Winter",1,0,1,7
"50","Higher zone WINTER 3",9,"Control","Higher",0.00908575554999959,0.00087009239001651,10.4422882607066,0.0607801934562411,"Winter",1,0,1,7
"51","Higher zone WINTER 3",10,"Control","Higher",0.0126202156357319,0.00220629523773669,5.72009376618072,0.110181853242752,"Winter",1,0,1,7
"52","Higher zone WINTER 3",11,"Control","Higher",0.0111779316774366,0.00147051843931261,7.60135431056667,0.0832726367560657,"Winter",1,0,1,7
"53","Higher zone WINTER 3",12,"Control","Higher",0.00688573790852313,0.00215714432804984,3.19206175450863,0.193273126767287,"Winter",1,0,1,7
"54","Higher zone WINTER 3",1,"Heat Shock","Higher",0.0115262352311604,0.00267484880593898,4.30911653980915,0.145168294340637,"Winter",1,1,1,7
"55","Higher zone WINTER 3",2,"Heat Shock","Higher",0.0110655026857289,0.0031056395700424,3.56303506449004,0.174192058854649,"Winter",1,1,1,7
"56","Higher zone WINTER 3",3,"Heat Shock","Higher",0.0157126414021477,0.000478805912062311,32.8163061614471,0.019393493818952,"Winter",1,1,1,7
"57","Higher zone WINTER 3",4,"Heat Shock","Higher",0.0135702241978485,0.00257640624906668,5.26711352402768,0.11944529052049,"Winter",1,1,1,7
"58","Higher zone WINTER 3",5,"Heat Shock","Higher",0.014447094087939,0.000861658218583987,16.7666178727811,0.0379245547065511,"Winter",1,1,1,7
"59","Higher zone WINTER 3",6,"Heat Shock","Higher",0.00700675978649033,0.00281459958869434,2.48943395523648,0.243169075701628,"Winter",1,1,1,7
"60","Higher zone WINTER 3",7,"Heat Shock","Higher",0.0102359570826213,0.00281505275910487,3.63615106307141,0.170856751276247,"Winter",1,1,1,7
"61","Higher zone WINTER 3",8,"Heat Shock","Higher",0.00952386048013115,0.00155556747968344,6.12243480563714,0.0256556884055653,"Winter",1,1,1,7
"62","Higher zone WINTER 3",9,"Heat Shock","Higher",0.0106268443420337,0.00305042249848228,3.48372867932916,0.17795622433599,"Winter",1,1,1,7
"63","Higher zone WINTER 3",10,"Heat Shock","Higher",0.00805028506944923,0.0060551026729108,1.32950430476835,0.410544693391177,"Winter",1,1,1,7
"64","Higher zone WINTER 3",11,"Heat Shock","Higher",0.0125593754957969,NA,NA,NA,"Winter",1,1,1,7
"65","Higher zone WINTER 3",12,"Heat Shock","Higher",0.017367373315788,NA,NA,NA,"Winter",1,1,1,7
"66","Higher zone WINTER 4",1,"Control","Higher",0.00660108474401106,0.000594581619579988,11.1020666072289,0.00156573364915577,"Winter",1,0,1,8
"67","Higher zone WINTER 4",2,"Control","Higher",0.00652249057405721,0.00189450485138207,3.44284712139901,0.0411504812668601,"Winter",1,0,1,8
"68","Higher zone WINTER 4",3,"Control","Higher",0.00738748768766136,0.000795034957745381,9.29202875381901,0.00263828316959837,"Winter",1,0,1,8
"69","Higher zone WINTER 4",4,"Control","Higher",0.00687556011960166,0.000694364611009572,9.90194490126006,0.00219073071571584,"Winter",1,0,1,8
"70","Higher zone WINTER 4",5,"Control","Higher",0.00623485481144215,0.00132672013552161,4.69944990243996,0.018226653665583,"Winter",1,0,1,8
"71","Higher zone WINTER 4",6,"Control","Higher",0.00734888580610973,0.00105064878608902,6.99461694850999,0.00599944566012011,"Winter",1,0,1,8
"72","Higher zone WINTER 4",7,"Control","Higher",0.0083727219725551,0.000755444302362879,11.0831757501736,0.00157360020872997,"Winter",1,0,1,8
"73","Higher zone WINTER 4",8,"Control","Higher",0.00792515850858193,0.000600522569302813,13.1971035123339,0.000940004655784346,"Winter",1,0,1,8
"74","Higher zone WINTER 4",9,"Control","Higher",0.00660740024031209,0.00046946993081053,14.0741713295771,0.000776899909764878,"Winter",1,0,1,8
"75","Higher zone WINTER 4",10,"Control","Higher",0.00887470345947279,0.000427523893081521,20.7583800650425,0.000244497234304614,"Winter",1,0,1,8
